Detail URL,Address,Beds,Baths,Area,Price,Property Sub Type,Year Built,Parking Capacity,Price/Sqft,Description,Time On Zillow,Views,Saves,Days On Zillow,Agent Name,Agent Phone,Brokerage Name,MLS Name,MLS ID,Last Checked,Last Updated
https://www.zillow.com/homedetails/249-Jefferson-St-Statham-GA-30666/54547671_zpid/,"249 Jefferson St, Statham, GA 30666",3,1,0,"$227,500",Single Family Residence,1962,0,,"CUTE HOME NEAR DOWNTOWN STATHAM. GREAT FOR FIRST-TIME HOMEBUYER. ENJOY THE SOUNDS OF NATURE OFF YOUR BACK PORCH OVERLOOKING A LARGE PRIVATE YARD. OPEN AND BRIGHT INTERIOR . SEPARATE LAUNDRY OFF THE KITCHEN. ATTACHED CARPORT. COME QUICK AND SEE . . . THIS WON'T LAST LONG. GREAT HOUSE, GREAT LOCATION.",21 days,1200,69,21,Stenisha A. Reed,404-668-5782,Solutions First Realty LLC,GAMLS,10352661,2024-08-21 22:08:30,2024-08-19 22:05:28
https://www.zillow.com/homedetails/130-Spencer-Cir-Macon-GA-31206/402663902_zpid/,"130 Spencer Cir, Macon, GA 31206",4,2,1814,"$199,000",Single Family Residence,1960,2,110,"Welcome to 130 Spencer Ct, Macon, GA! This stunning 4-bedroom, 2-bathroom home has just been renovated in July 2024 and is ready for you to move in. The owner's suite features an ensuite bathroom and a spacious walk-in closet. Enjoy the beautifully updated bathrooms and a modern kitchen with quartz countertops, a pantry, and a cozy eat-in space. There's plenty of room for family and friends with a large living room, dining area, and den. Relax in the covered screened-in porch or entertain on the patio. Storage won't be an issue with a carport that includes a utility closet under the carport and an outdoor shed that stays with the property. There is also a 2nd driveway that provides entry to back of home.  This home is a must-see!",23 days,1253,127,23,Nitara Murray,,VIRTUAL PROPERTIES REALTY,CGMLS,244768,2024-08-21 22:03:25,2024-07-29 20:59:44
https://www.zillow.com/homedetails/4377-Napier-Ave-Macon-GA-31210/76340922_zpid/,"4377 Napier Ave, Macon, GA 31210",4,3,2612,"$259,900",Single Family ResidenceResidential,1952,0,100,"Welcome to your dream home! This one of a kind home is to be showcased on HGTV's House Hunters!! It is a recently updated 3 bed, 2 bath gem boasting a spacious layout and modern amenities throughout. With a full unfinished basement, the potential for customization is limitless. Plus, enjoy the added bonus of a 1 bed, 1 bath apartment complete with a kitchenette perfect for guests or rental income. Situated on a sprawling 1.49-acre lot, outdoor possibilities abound. Park with ease in the attached carport or the expansive 2 car detached garage. The home is conveniently located to Wesleyan College, grocery stores, hospitals, eateries, and only minutes from Downtown Macon! Don't miss out on this rare opportunity for luxury living and endless possibilities! Call today to schedule your own private viewing!",169 days,1790,140,169,Macie Mullis,478-731-4610,Sold Realty Group,MGMLS,174032,2024-08-21 22:20:17,2024-07-02 11:08:17
https://www.zillow.com/homedetails/3721-Dreyfus-Dr-Macon-GA-31204/76349345_zpid/,"3721 Dreyfus Dr, Macon, GA 31204",4,3,2085,"$201,500",Single Family ResidenceResidential,1965,0,97,"OUTSIDE WAS FRESHLY PAINTED, WELCOME HOME TO THIS RECENTLY RENOVATED RANCH FEATURING 4 BEDROOMS & 3 FULL BATH. AS YOU WALK IN THE HOURSE, THE FORMAL LIVING ROOM WELCOMES YOU AND LEADS IN THE FAMILY ROOM WHICH OPENS INTO THE GALLARY KITCHEN. THIS HOME FEATURES TWO OWNER SUITES, HARDWOODS IN THE BEDROOMS AND COMMON AREAS WERE JUST RESURFACED. BATHROOMS ARE UPDATED WITH NEW VANTITIES AND TILED SHOWERS. GALLARY KITCHEN OFFERS A NEW STOVE, TILED BACKSPLASH, PLENTY OF CABINETRY, PANTRY & EAT IN BREAKFAST AREA. THERE IS A PATIO OFF OF HTE OWNER SUITE ON EACH SIDE OF THE HOUSE. CONVENIENT TO THE MACON MALL. DON'T MISS THIS OPPORTUNITY! SELLER OFFERING A 13-MONTH HOME WARRANTY TRANSFERRED TO BUYER.",25 days,1570,76,25,Whittney Self,770-597-2888,Exit Self Property Advisors,MGMLS,175980,2024-08-21 22:20:17,2024-08-17 12:59:14
https://www.zillow.com/homedetails/2715-Cherokee-Ave-Macon-GA-31204/251001184_zpid/,"2715 Cherokee Ave, Macon, GA 31204",5,3,4699,"$225,000",Single Family Residence,1900,0,48,Neel Reid Home for sale with potential tax credits for the renovation. 2 properties included in the sale on the same lot! The 1st one is a fire damaged 6 Bed 4 Bath. (2717 Cherokee Ave) The 2nd one is 2 Beds 1 Bath recently renovated. (2715 Cherokee Ave) 2717 sits next to it and was recently renovated with a tenant on a yearly lease.,149 days,2542,95,149,Daniel J. Demers,888-219-3009,Sell Your Home Services LLC,GAMLS,20176692,2024-08-21 22:38:29,2024-08-09 09:45:46
https://www.zillow.com/homedetails/632-Monroe-St-Macon-GA-31201/2128912841_zpid/,"632 Monroe St, Macon, GA 31201",3,2,1551,"$160,000",Single Family Residence,1920,0,103,"Back on the market at no fault of the seller! Instant equity!! This is a great property in a central location. It would be a great place to live, whether you are an owner-occupant or looking for an investment property like off-campus student housing, traveling medical professionals, or corporate housing. It's less than a mile from Mercer University, Mercy School of Law, and The Medical Center, close to downtown Macon, shopping, restaurants, entertainment, several parks, and major highways. The property has nice front and rear porches, a large inviting foyer/center hallway, a main bedroom with an ensuite bathroom, spacious bedrooms, hardwood floors throughout, ample parking, and a rear accessory building that could be converted for many uses. 100% FINANCING AND UP TO $15,000 DOWNPAYMENT GRANT AVAILABLE.",99 days,650,61,99,Sheila Carpenter,,VIRTUAL PROPERTIES REALTY,CGMLS,243036,2024-08-21 22:33:31,2024-08-20 20:59:06
https://www.zillow.com/homedetails/219-W-Springs-Dr-Macon-GA-31220/91014032_zpid/,"219 W Springs Dr, Macon, GA 31220",4,3,3156,"$259,900",Single Family Residence,2007,2,82,"This is the one that you've been waiting for! This home has a spacious open concept on the main level, with 2 living areas and a half bathroom. Also features 4-bedrooms, one of which has a split bonus room that could be used as a nursery, office or even a movie room. As if this wasn't enough, you'll find over 1,000 square feet of living space in the partially finished basement - perfect opportunity for additional bedrooms, family room, home gym, etc. This well-established community offers a pool, tennis court, clubhouse, playground, 24-hour lake access and walking trail. Give me a call today to schedule your private home tour!",53 days,1877,133,53,Shondreika Searcy,,SOLD REALTY GROUP,CGMLS,244147,2024-08-21 22:33:31,2024-08-20 02:49:34
https://www.zillow.com/homedetails/159-Brookefield-Dr-Macon-GA-31210/76330794_zpid/,"159 Brookefield Dr, Macon, GA 31210",4,4,2046,"$329,900",Single Family ResidenceResidential,1998,2,161,"Welcome to your dream home in the desirable Brookefield subdivision, perfectly situated near Bass Road. This prime location offers convenient access to I75, Chick-Fil-A, Publix, The Shoppes at Rivercrossing, and so much more!
This one owner home has been well taken care of and offers 4 spacious bedrooms, including a primary suite on the main floor, 3 full bathrooms, 1 half bathroom, a large bonus room ideal for a game room, home office, or an extra bedroom, and a fully finished basement. 
The recently remodeled kitchen has beautiful, modern cabinets, stainless steel appliances, and stylish finishes. 
Walk downstairs to the basement, perfect for an inlaw suite or guest retreat, this area has a  kitchenette, full bedroom and bathroom, a living room, and interior and exterior access.
As if it couldn't get any better, this property is situated on a spacious corner lot with the back yard offering seclusion and privacy, and it even has an awesome treehouse!
This versatile home is designed to meet all of your family's needs, with an abundance of storage, plenty of natural light, vaulted and tray ceilings, a spacious laundry room, a breakfast area, flexible living spaces, a separate dining room for your more formal meals, and a covered deck perfect for enjoying your morning coffee or evening sunsets. 
The community offers a wonderful pool, tennis courts, walking trails, a clubhouse, and an open field to play sports with your neighborhood friends or just an open area to walk your pets! Don't miss the opportunity to make this exceptional property your new home; schedule a private showing today!",61 days,1438,87,61,Lauren 'Olivia' Morrison,501-416-1569,"Connie R. Ham Middle Ga Realty, Inc",MGMLS,175508,2024-08-21 22:20:17,2024-08-14 12:29:58
https://www.zillow.com/homedetails/709-Ivy-Brook-Way-Macon-GA-31210/81651974_zpid/,"709 Ivy Brook Way, Macon, GA 31210",3,2,1498,"$195,000",Single Family Residence,2005,2,130,"Back on market due to buyer finacing issues. Welcome to your perfect starter home or investment opportunity! This charming one-level ranch features 3 bedrooms and 2 baths, all set on a corner lot. Enjoy the convenience of a slab foundation and the amenities of a vibrant community with a pool and clubhouse. Nestled in an excellent school district, this home offers the ideal blend of comfort, convenience, and community living. Don't miss out on this fantastic opportunity!",47 days,1451,95,47,Brandi Faircloth,,SOUTHERN CLASSIC REALTORS,CGMLS,244263,2024-08-21 22:33:31,2024-08-14 18:18:51
https://www.zillow.com/homedetails/2639-Vineville-Ave-Macon-GA-31204/251000950_zpid/,"2639 Vineville Ave, Macon, GA 31204",4,3,3804,"$315,000",Single Family ResidenceResidential,1910,5,83,Loads Of Charm And So Much Character This Historic Brick Home Is Located In The  Perfect Place In Midtown. Close To Downtown Yet Easy to North Schools And Shopping.  The Open Big Space And Hardwood Floors Throughout Is  Fabulous For Entertaining Plus A Low Maintenance Yard So You Can Have Fun In Macon GA. Plenty of Storage And Covered Parking. It's Just Awesome. This Home Is Loved! Move To Macon And Be A True Maconite In This Magical Home!,18 days,1828,124,18,Joanna Jones,478-731-1302,"Sheridan, Solomon & Associates",MGMLS,176068,2024-08-21 22:20:17,2024-08-05 11:04:43
